movie_id,movie_title,release_year,director,actor
1,Patala Bhairavi,1951,K. V. Reddy,"sr_ntr, s_v_ranagarao, relangi"
2,Mayabazar,1957,K. V. Reddy,"sr_ntr, nageswara_rao_akkineni, savitri, relangi, s_v_ranagarao"
3,Daana Veera Soora Karna,1977,N. T. Rama Rao,"sr_ntr, Hari krishna, gummadi, nandamuri_balakrishna"
4,Lava Kusa,1963,"C. S. Rao, C. Pullayya","sr_ntr, Anjali Devi, Nagayya, Sobhan Babu, Kanta Rao"
5,Gundamma Katha,1962,Kamalakara Kameswara Rao,"sr_ntr, nageswara_rao_akkineni, savitri, relangi, s_v_ranagarao, jamuna, Surya Kantham"
6,Sri krishna Pandaveeyam,1966,N. T. Rama Rao,"sr_ntr, Shobhan Babu, savitri, Kantha Rao, S. V. Ranaga Rao"
7,Nartanasala,1963,Kamalakara Kameswara Rao,"sr_ntr, savitri, s_v_ranagarao, relangi"
8,Bhookailas,1958,K. Shankar,"sr_ntr, nageswara_rao_akkineni, jamuna, s_v_ranagarao"
9,Adavi Ramudu,1977,K. Raghavendra Rao,"sr_ntr, jaya_prada, jaya_sudha, gummadi, Mallikarjuna Rao"
10,Badi Panthulu,1972,P. Chandrasekhara Reddy,"sr_ntr, krishnam Raju, allu_ramalingaigh, sri_devi"
11,Ramudu Bheemudu,1964,Tapi Chanakya,"sr_ntr, jamuna, s_v_ranagarao, relangi"
12,Driver Ramudu,1979,K. Raghavendra Rao,"sr_ntr,jaya_sudha, mohan_babu, allu_ramalingaiah"
13,Vetagadu,1979,K. Raghavendra Rao,"sr_ntr, sri_devi, allu_ramalingaiah, Rao Goapl Rao,"
14,Bobbili Puli,1982,Dasari Narayana Rao,"sr_ntr, sri_devi, allu_ramalingaiah, Rao Goapl Rao,"
15,Kondaveeti Simham,1981,K. Raghavendra Rao,"sr_ntr, sri_devi, allu_ramalingaiah, Rao Gopal Rao, mohan_babu, Chalapathi Rao"
16,Devadasu,1953,Vedantam Raghavaiah,"nageswara_rao_akkineni, savitri, Lalitha, s_v_ranagarao"
17,Missamma,1955,L. V. Prasad,"nageswara_rao_akkineni, sr_ntr, savitri, jamuna, s_v_ranagarao, relangi, allu_ramalingaiah"
18,Mooga Manasulu,1964,Adurthi Subba Rao,"nageswara_rao_akkineni, savitri, jamuna, s_v_ranagarao, allu_ramalingaiah"
19,Prem Nagar,1971,K. S. Prakash Rao,"nageswara_rao_akkineni, Vani sri, s_v_ranagarao, gummadi, satya narayana"
20,Mayabazar,1957,K. V. Reddy,"nageswara_rao_akkineni, sr_ntr, savitri, relangi, s_v_ranagarao"
21,Gundamma Katha,1962,Kamalakara Kameswara Rao,"nageswara_rao_akkineni, sr_ntr, savitri, relangi, s_v_ranagarao"
22,Sudigundalu,1967,Adurthi Subba Rao,"nageswara_rao_akkineni, savitri, gummadi, s_v_ranagarao"
